City_id,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Descrption
221,Conner,PH,17.7964,121.3275,71.37,94,53,2.21,broken clouds
222,Lorengau,PG,-2.0226,147.2712,82.11,78,91,6.46,overcast clouds
223,Minggang,CN,32.4586,114.0486,63.12,53,100,1.77,overcast clouds
224,Severo-Kurilsk,RU,50.6789,156.125,39.25,82,8,13.82,clear sky
225,Leningradskiy,RU,69.3833,178.4167,-4.65,96,100,5.64,overcast clouds
226,Beringovskiy,RU,63.05,179.3167,10.29,95,100,18.37,light snow
227,Samarai,PG,-10.6167,150.6667,81.37,82,35,10.09,scattered clouds
228,Takoradi,GH,4.8845,-1.7554,82.29,76,77,11.61,broken clouds
229,Castro,BR,-24.7911,-50.0119,72.75,68,65,7.18,broken clouds
230,Kazuno,JP,40.1836,140.7872,45.21,90,100,2.28,overcast clouds
231,Calafell,ES,41.2,1.5683,69.08,91,100,1.68,overcast clouds
232,Dombarovskiy,RU,50.7587,59.5386,42.57,70,80,17.36,broken clouds
233,Sayyan,YE,15.1718,44.3244,58.3,46,0,13.82,clear sky
234,Plettenberg Bay,ZA,-34.0527,23.3716,60.64,91,2,1.92,clear sky
235,Ossora,RU,59.2353,163.0719,17.87,91,73,5.1,broken clouds
236,Krasnogorsk,RU,55.8225,37.3181,48.45,81,0,15.66,clear sky
237,Sisimiut,GL,66.9395,-53.6735,34.41,72,100,21.43,overcast clouds
238,Husavik,IS,66.0449,-17.3389,39.11,92,100,11.63,overcast clouds
239,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.29,80,100,14.79,overcast clouds
240,Paamiut,GL,61.994,-49.6678,32.05,80,53,14.18,broken clouds
241,Kibondo,TZ,-3.5864,30.7203,72.3,50,90,2.06,overcast clouds
242,Devils Lake,US,48.1128,-98.8651,44.71,74,75,14.0,broken clouds
243,Lasa,IT,46.6166,10.7002,50.88,75,100,3.8,light rain
244,Saint-Pierre,RE,-21.3393,55.4781,73.08,77,0,3.44,clear sky
245,Broken Hill,AU,-31.95,141.4333,53.51,32,86,5.68,overcast clouds
246,Vostok,RU,46.4856,135.8833,33.85,75,100,1.68,overcast clouds
247,Atar,MR,20.5169,-13.0499,91.58,23,100,2.44,overcast clouds
248,Manokwari,ID,-0.8667,134.0833,78.04,79,78,3.6,broken clouds
249,Huainan,CN,32.6264,116.9969,62.58,58,85,5.46,light rain
250,Bathurst,AU,-33.4166,149.5806,40.82,90,0,2.98,clear sky
251,Ngunguru,NZ,-35.6167,174.5,62.17,96,100,15.17,moderate rain
252,Mikuni,JP,36.2171,136.1519,53.51,66,100,5.68,overcast clouds
253,Fredericksburg,US,38.3032,-77.4605,63.77,74,90,4.0,overcast clouds
254,Odate,JP,40.2686,140.5683,44.98,91,100,1.61,overcast clouds
255,Loviisa,FI,60.4566,26.2251,45.63,88,64,8.59,broken clouds
256,Balkanabat,TM,39.5108,54.3671,58.96,50,89,2.89,overcast clouds
257,Floresti,MD,47.8933,28.3014,50.68,56,0,10.27,clear sky
258,Conceicao Da Barra,BR,-18.5933,-39.7322,81.39,62,53,9.24,broken clouds
259,Port Hardy,CA,50.6996,-127.4199,42.8,100,20,0.0,few clouds
260,Jiexiu,CN,37.0244,111.9125,52.23,38,38,4.27,scattered clouds
261,Pevek,RU,69.7008,170.3133,1.35,94,100,8.01,overcast clouds
262,Natal,BR,-5.795,-35.2094,88.45,62,20,20.71,few clouds
263,San Ignacio,BZ,17.1561,-89.0714,82.54,61,75,4.61,broken clouds
264,Ventspils,LV,57.3894,21.5606,42.73,100,88,1.14,overcast clouds
265,Brigantine,US,39.4101,-74.3646,68.5,71,40,11.5,scattered clouds
266,Sefophe,BW,-22.1833,27.9667,79.3,69,40,10.36,thunderstorm
267,Iguatu,BR,-6.3594,-39.2986,98.76,25,58,6.33,broken clouds
268,Iskateley,RU,67.6803,53.1512,16.2,86,99,8.46,overcast clouds
269,Arman,RU,59.7,150.1667,21.36,60,99,10.0,overcast clouds
270,Makakilo City,US,21.3469,-158.0858,75.61,80,1,0.0,clear sky
271,Hasaki,JP,35.7333,140.8333,54.0,55,70,7.14,broken clouds
272,Bougouni,ML,11.417,-7.479,87.94,48,59,4.38,broken clouds
273,Ugoofaaru,MV,5.6667,73.0,81.54,74,89,8.19,overcast clouds
274,Salym,RU,60.0625,71.4789,23.31,96,100,3.31,light snow
275,Culfa,AZ,38.9558,45.6308,51.67,69,100,5.26,overcast clouds
276,Elk City,US,35.412,-99.4043,66.42,22,1,13.8,clear sky
277,Vila Velha,BR,-20.3297,-40.2925,75.15,83,75,12.66,broken clouds
278,Berani,PK,25.785,68.8069,77.09,16,1,8.16,clear sky
279,Petrozavodsk,RU,61.7849,34.3469,45.86,81,100,8.95,overcast clouds
280,Kodiak,US,57.79,-152.4072,45.91,93,90,26.46,moderate rain
281,Souillac,MU,-20.5167,57.5167,73.78,78,40,4.61,scattered clouds
282,Skibbereen,IE,51.55,-9.2667,48.0,74,94,19.01,overcast clouds
283,Kushmurun,KZ,52.4503,64.6311,38.95,94,100,20.87,light rain
284,Ilhabela,BR,-23.7781,-45.3581,70.47,92,99,10.69,overcast clouds
285,Yulara,AU,-25.2406,130.9889,58.84,88,100,5.75,overcast clouds
286,Kaitangata,NZ,-46.2817,169.8464,49.23,74,73,5.46,broken clouds
287,Fort Nelson,CA,58.8053,-122.7002,22.59,74,1,6.91,clear sky
288,Trelew,AR,-43.249,-65.3051,61.39,22,1,26.82,clear sky
289,Kawalu,ID,-7.3817,108.2082,73.0,98,100,1.77,overcast clouds
290,Grand Baie,MU,-20.0182,57.5802,73.87,81,7,4.25,clear sky
291,Corning,US,42.1428,-77.0547,54.86,99,90,0.0,overcast clouds
292,Montepuez,MZ,-13.1256,38.9997,81.79,46,47,11.61,scattered clouds
293,Priiskovyy,RU,51.9333,116.6333,23.74,52,16,3.85,few clouds
294,Aklavik,CA,68.2191,-135.0107,17.6,93,90,6.91,fog
295,Okhotsk,RU,59.3833,143.3,12.31,70,1,19.73,clear sky
296,Komsomolskiy,UZ,40.4272,71.7189,45.82,61,23,6.91,few clouds
297,San Patricio,US,28.017,-97.5169,78.89,18,0,4.99,clear sky
298,Sabha,LY,27.0377,14.4283,74.43,24,9,5.48,clear sky
299,Necochea,AR,-38.5473,-58.7368,62.04,69,71,23.76,broken clouds
300,Longyearbyen,SJ,78.2186,15.6401,17.44,86,20,10.36,few clouds
301,Corinto,GR,37.9407,22.9573,62.42,69,95,3.83,overcast clouds
302,Nanortalik,GL,60.1432,-45.2371,35.24,73,38,4.74,scattered clouds
303,Bundaberg,AU,-24.85,152.35,75.49,95,75,1.01,broken clouds
304,Ixtapa,MX,20.7,-105.2,84.22,82,4,5.01,clear sky
305,Norman Wells,CA,65.282,-126.8329,15.84,86,75,2.3,fog
306,Seminole,US,28.7086,-81.2081,74.12,68,1,1.01,clear sky
307,Basco,PH,20.4487,121.9702,80.37,67,16,16.67,few clouds
308,Ville-Marie,CA,47.3335,-79.433,42.8,48,88,7.52,overcast clouds
309,Vila Franca Do Campo,PT,37.7167,-25.4333,74.19,93,93,16.06,overcast clouds
310,Graham,US,47.0529,-122.2943,48.81,90,1,0.0,clear sky
311,Marawi,PH,7.9986,124.2928,66.65,95,62,0.98,broken clouds
312,Magistralnyy,RU,56.1725,107.4458,30.97,62,100,5.37,overcast clouds
313,Huoqiu,CN,32.3394,116.2694,62.49,60,94,5.14,light rain
314,Mogadishu,SO,2.0371,45.3438,79.57,79,4,11.72,clear sky
315,Walvis Bay,NA,-22.9575,14.5053,61.75,77,34,10.36,scattered clouds
316,Villa Del Rosario,CO,7.8339,-72.4742,84.58,58,75,9.22,broken clouds
